tau,deg,rep,n_test,LAP,W,eta,seconds
1,8,10,2000,0.002207837971297477,0.13870739821720418,0.015917232964316637,19.15
1,8,9,2000,0.0020882024333965243,0.14005458509389201,0.01490991838643913,19.22
1,8,8,2000,0.0020486993970742773,0.1363816804068698,0.015021807848109492,19.3
1,8,11,2000,0.0022605844188061663,0.13644866293520222,0.0165672888995599,19.29
1,8,13,2000,0.0019776062313206777,0.1365917200377521,0.014478229213118438,19.21
1,8,12,2000,0.0020753624689774652,0.13813280935867767,0.015024399189540473,19.23
1,8,14,2000,0.002070553656895846,0.13898951997944992,0.014897192660295428,19.16
1,8,17,2000,0.002161499320115945,0.13840439605288066,0.015617273596498287,19.19
1,8,15,2000,0.001979737365776807,0.13821983959498002,0.01432310565240092,19.48
1,8,18,2000,0.002003172431530059,0.13595228588543853,0.014734378451113733,19.63
1,8,16,2000,0.002020674607110806,0.1350257526578946,0.014965105302767314,20.72
1,8,19,2000,0.0020831784313742607,0.13568380173937714,0.015353184423411511,19.38
1,8,23,2000,0.0019921029350211394,0.1375368927618967,0.014484135092900925,19.02
1,8,20,2000,0.0020900997106895747,0.1371802649946024,0.01523615449184191,19.11
1,8,21,2000,0.0019225999481666256,0.13692415450653392,0.014041349790294894,19.11
1,8,22,2000,0.0019776245205218868,0.13722887556125785,0.014411139874414341,19.57
1,8,24,2000,0.002084156559909678,0.13809713100325455,0.015091961322936972,19.33
1,8,26,2000,0.002099399728310497,0.13795358550602851,0.015218159938429104,19.43
1,8,25,2000,0.00207489943503672,0.13648580969959748,0.015202308867152797,19.74
1,8,27,2000,0.0021470511579369522,0.13840662823309285,0.015512632489833278,19.4
1,8,28,2000,0.0020497594914913597,0.1378880409429744,0.01486538990237063,19.34
1,8,30,2000,0.0020789492973066204,0.13783105025254794,0.01508331608514453,19.39
1,8,29,2000,0.002023070136679267,0.13658819946283662,0.014811456221221443,19.78
1,8,31,2000,0.001997407827274783,0.13709185395204174,0.014569850576049018,19.62
1,8,32,2000,0.0021637633897308994,0.13716873371987925,0.015774465004172556,19.7
1,8,33,2000,0.0022654664661030943,0.138483764466918,0.01635907627745262,19.77
1,8,34,2000,0.00212873789770307,0.13812451490899005,0.015411731212997859,19.93
1,8,35,2000,0.0020449681357706806,0.1361399286532995,0.015021075418501909,20.01
1,8,36,2000,0.0020849209240944855,0.13961744957199385,0.014933097048298353,19.74
1,8,39,2000,0.0020777515897799914,0.13555740521514978,0.015327466518574109,19.03
1,8,37,2000,0.001941229500808106,0.1371025516416306,0.014158959680650174,19.04
1,8,40,2000,0.0020972740920823796,0.14102165716640544,0.014872000047535945,19.24
1,8,38,2000,0.0019623091040101848,0.1368331746851416,0.0143408870584603,19.32
1,8,41,2000,0.0021188074452884453,0.13726822308297174,0.015435527594815101,19.87
1,8,42,2000,0.0020836841383758964,0.139577419216566,0.01492851888272047,20.04
1,8,43,2000,0.0020146984497208253,0.13824833881851384,0.014573039118868765,19.91
1,8,44,2000,0.0020391770070622983,0.13833835257843427,0.014740503765260163,20.24
1,8,45,2000,0.002172432084879272,0.13797466566259717,0.015745152013571326,19.41
1,8,46,2000,0.0020866417480711608,0.1378509454246994,0.015136941873285749,19.69
1,8,47,2000,0.002175214745592985,0.13983266524465152,0.015555841274906865,19.7
1,8,48,2000,0.002102775977064375,0.1377869034530703,0.015261072891304017,19.59
1,8,49,2000,0.0020586279583579004,0.1381254879762883,0.014904041162274848,19.54
1,16,0,2000,0.0012880231077145587,0.1839990649198773,0.007000161159924538,20.04
1,16,2,2000,0.0011879219230619409,0.1867398891775215,0.0063613721111972,19.83
1,16,1,2000,0.0012505524239951327,0.18065073518325514,0.006922487321884139,20.28
1,16,3,2000,0.0012177693655094635,0.18058897646788552,0.006743320601997109,20.41
1,16,6,2000,0.001198726653392962,0.18125797701066176,0.006613373232795441,19.17
1,16,5,2000,0.001210491533328445,0.1803408285933604,0.006712243382544886,19.23
1,16,4,2000,0.0011093288081935881,0.1796822589882589,0.0061738360505923726,19.29
1,16,7,2000,0.0011879735455780638,0.18641367720038726,0.006372781028835345,19.3
1,16,9,2000,0.0011712001056592147,0.18346386792099337,0.006383818889960277,19.43
1,16,10,2000,0.001175477202492975,0.17436487148334515,0.006741479476301816,19.53
1,16,11,2000,0.0011754091447665205,0.1917590695455052,0.006129614351761292,19.75
1,16,8,2000,0.0011292266022137343,0.18507143309494067,0.00610157161118673,20.35
1,16,12,2000,0.0011073803118770154,0.1801285787863634,0.006147721362918172,19.99
1,16,13,2000,0.0011767129618847905,0.17949086304305342,0.00655583767293235,19.84
1,16,14,2000,0.0011466732753947217,0.18103467739714046,0.006333997949349974,20.11
1,16,15,2000,0.0012810299788616475,0.1803880916362744,0.00710152187564938,20.25
1,16,16,2000,0.0012144772073754695,0.18416678265287664,0.006594442221779779,20.08
1,16,18,2000,0.0013599574235963197,0.18816834268703747,0.007227344430929105,19.64
1,16,17,2000,0.001216878196151433,0.18305007756776173,0.006647788475811857,20.26
1,16,19,2000,0.0011288700865332013,0.18039071159939574,0.006257916921133664,19.91
1,16,20,2000,0.0011446550503789177,0.179753031583973,0.006367931824527718,20.16
1,16,24,2000,0.0012954578389575422,0.19258515002914162,0.006726675648467787,19.69
1,16,23,2000,0.0013013778198294468,0.1823299032990309,0.007137489771467255,19.72
1,16,21,2000,0.0011586343708159808,0.18956075368032138,0.00611220597260297,19.85
1,16,22,2000,0.001180328457195956,0.184246742937673,0.006406237843755195,20.06
1,16,26,2000,0.0012396227314089847,0.18409772731902438,0.006733503718168301,19.65
1,16,25,2000,0.0011662148183785026,0.18237863025281292,0.006394470759879586,19.7
1,16,27,2000,0.0011235397962740812,0.1832931115813988,0.006129743701661846,19.6
1,16,28,2000,0.0011989005896373695,0.18914489249372343,0.006338530075175854,19.76
1,16,31,2000,0.0012090891790293157,0.18741406901692098,0.006451432303730363,19.6
1,16,30,2000,0.0012999410426447755,0.1844457918933433,0.007047821635293652,19.71
1,16,29,2000,0.0011976977663661625,0.18286248431600763,0.006549718335316946,19.86
1,16,32,2000,0.0012453507426272437,0.17884272126484665,0.006963385111899602,19.86
1,16,33,2000,0.0012470227174322945,0.18190201435111533,0.006855464035847541,19.86
1,16,34,2000,0.0011868368523691997,0.18400499045309027,0.006450025346849322,19.86
1,16,35,2000,0.0012586895694260414,0.17675822837644078,0.007120967329144185,19.89
1,16,36,2000,0.0011874669223214396,0.1709830514376224,0.006944939351223639,20.05
1,16,37,2000,0.0012142889771435128,0.1847937818577857,0.006571048900757981,19.96
1,16,40,2000,0.0011324825666672311,0.1830046825242977,0.006188270983267712,19.28
1,16,41,2000,0.001161302149045862,0.1821504299477519,0.006375511435130678,19.29
1,16,38,2000,0.0011942636443009746,0.18129329163315278,0.006587467376992464,19.47
1,16,39,2000,0.00124980842286454,0.1844095337792869,0.0067773525438245,20.22
1,16,42,2000,0.0011904920558951093,0.1898198644816858,0.006271693740514552,19.91
1,16,43,2000,0.001184687318422084,0.17619687952064667,0.00672365663708172,19.96
1,16,44,2000,0.0012068989029147548,0.1789017722275846,0.006746153980964671,19.94
1,16,45,2000,0.001209180924586134,0.18248892602352987,0.00662605096612944,19.9
1,16,46,2000,0.0012412247025150591,0.184872891710825,0.00671393567238923,19.68
1,16,47,2000,0.0011928395288636484,0.18627887996222955,0.006403514607267942,19.87
1,16,48,2000,0.0012755663378199722,0.18611325842978124,0.0068537102008841095,19.89
1,16,49,2000,0.0011362359663501242,0.18394827295937297,0.006176931960655454,19.91
2,1,0,2000,0.008214826750694293,0.1323583121436613,0.06206506125416547,19.38
2,1,1,2000,0.008306951529101408,0.13400509546560077,0.061989818373987204,19.54
2,1,2,2000,0.00788317968494863,0.13227746126836323,0.05959578910389965,19.55
2,1,3,2000,0.007737567898246242,0.13182194058385863,0.058697117217175104,19.35
2,1,4,2000,0.008376630637137977,0.133630065763938,0.06268522423640484,19.37
2,1,8,2000,0.008088208955721765,0.13325223678176956,0.06069848545182789,18.61
2,1,6,2000,0.008046982920025592,0.13334673379891915,0.060346306885627046,18.65
2,1,7,2000,0.008234278735547565,0.13291344806652763,0.061952186594587726,18.73
2,1,5,2000,0.008362980891308075,0.134281751463153,0.06227935516318375,18.75
2,1,10,2000,0.008530756571179854,0.1346237199928815,0.06336741082203741,18.94
2,1,12,2000,0.008173907673058353,0.13238914446539848,0.06174152500241214,19.03
2,1,11,2000,0.007869399535471583,0.13296580327383,0.05918363475205221,19.18
2,1,9,2000,0.007945378581868542,0.13288622113103207,0.059790838464990476,19.4
2,1,13,2000,0.008432082384323886,0.13386487759607257,0.06298950505723447,19.21
2,1,14,2000,0.007988781980910742,0.1328253216590973,0.0601450226592663,19.18
2,1,16,2000,0.008242036458798535,0.13213394236170473,0.062376375906780294,19.02
2,1,15,2000,0.007988456183702308,0.13230442421779187,0.06037935791589384,19.26
2,1,17,2000,0.007902958919160749,0.13212514993044094,0.05981419073750431,19.45
2,1,19,2000,0.008015915499906337,0.13257212012424036,0.06046456443778826,19.24
2,1,18,2000,0.007983234700922215,0.13328906258647608,0.059894146946549376,19.35
2,1,20,2000,0.007759978735384379,0.1314387892033413,0.0590387265617562,19.18
2,1,21,2000,0.00848381515625779,0.13397449646373383,0.0633241055588092,19.06
2,1,22,2000,0.007946104103449259,0.1322802356991968,0.06007022939933805,18.67
2,1,23,2000,0.008312078758310373,0.13266838267873515,0.06265304958483285,18.69
2,1,25,2000,0.008170084427630592,0.13238709041267555,0.06171360366152694,18.71
2,1,24,2000,0.008239340978710333,0.13170390262263657,0.06255958111065267,18.8
